x,t,d1,d5,d20,d40
0.00012340980408667956,0,0.0,0.0,0.0,0.0
0.00017625125424738458,1,0.0,0.0,0.0,0.0
0.00024991242536772247,2,0.00012340984522327757,0.0,0.0,0.0
0.0003518167902881361,3,5.2841467774519346e-05,0.0,0.0,0.0
0.0004917205453989828,4,0.00019707104089733418,0.00012340984522327757,0.0,0.0
0.0006823280527563778,5,0.000154745866663043,0.00017497601243966776,0.0,0.0
0.0009400288421806887,6,0.0003369748426427376,0.00022248923390568766,0.0,0.0
0.0012857668091172442,7,0.0003453534375562034,0.0002435704504993598,0.0,0.0
0.001746048577127759,8,0.0005946757179671348,0.0003186852639014599,0.0,0.0
0.002354092443734231,9,0.0006910915197383086,0.00046535510136845614,0.0,0.0
0.0031511115984444497,10,0.0010549576394038296,0.0006836603796169289,0.0,0.0
0.004187715166944912,11,0.001299135589023482,0.0009494524001108146,0.00012340984522327757,0.0
0.005525397988803947,12,0.001851977059781001,0.0012631146159790842,0.00017625131299779691,0.0
0.007238074941486149,13,0.0023357395030443933,0.0016583600452004937,0.00024991250867185353,0.0
0.009413598369701666,14,0.0031896603275025307,0.0021894010936079904,0.0003518169075603772,0.0
0.012155178329914978,15,0.0040484170265487045,0.002904084319383931,0.0004917207093057806,0.0
0.015582605794334554,16,0.00536518448074081,0.003833306492659003,0.0006823282801989359,0.0
0.019833159893548575,17,0.006789997900301372,0.005003143492079861,0.000940029155411553,0.0
0.025062063262558852,18,0.008792613086973525,0.006456168978185565,0.0012857669043401137,0.0
0.031442336437891426,19,0.011040553415027419,0.008261817175206675,0.0017459142582728947,0.0
0.039163895098987225,20,0.014021518196304742,0.01050870525239265,0.002346561227237757,0.0
0.048431734917994386,21,0.01742082871200329,0.013289032673758045,0.0030861267649209575,0.00012340984522327757
0.05946305997430341,22,0.021743079421591427,0.01669039428333874,0.004040787270606663,0.00017625131299779691
0.07248323393023678,23,0.02668867160244582,0.020800917966651046,0.0053093279833169495,0.00024991250867185353
0.08772046977979275,24,0.032774408122791976,0.02572029661428423,0.006933049980764088,0.0003518169075603772
0.10539922456186476,25,0.03970884984158318,0.03156472915569544,0.008986258791698107,0.0004917207093057806
0.1257323295944284,26,0.04801164895336461,0.03846066988580085,0.01156075641282721,0.000682328280198941
0.14891196300114834,27,0.05738761035127932,0.046532612545105774,0.01476168604191699,0.0009400291555233382
0.17509965675011407,28,0.06834476049137111,0.05589407301987111,0.018707558289684872,0.0012857672377054434
0.2044156209782648,29,0.08056725104639825,0.06664599990641212,0.023530264659081552,0.0017460491591421382
0.23692775868212265,30,0.09453246228075154,0.07887893148481659,0.029378519043421654,0.0023540932284273116
0.27264082755667796,31,0.10988322398882835,0.09267196364652044,0.03642523774327719,0.003151112648804483
0.3114862758474083,32,0.12704460923591274,0.10808521453885106,0.044835136091919664,0.004187716562825394
0.35331332835860263,33,0.14559630244562752,0.12514864706876472,0.05474606178437889,0.005525399830546924
0.397881920451206,34,0.16589006715667923,0.14385291416268142,0.06631277148897083,0.007238077354051235
0.44485806622294266,35,0.18742336427161696,0.164145378663429,0.07970114417891232,0.009413601507289515
0.4938121980333477,36,0.2104586678106494,0.18592977163955018,0.09505369670773295,0.012155182381042177
0.544220926325209,37,0.23439951735268713,0.2090656711153881,0.11248505912374408,0.015582610987163112
0.5954725422392716,38,0.25941280514592435,0.23336577367115177,0.13207558100747124,0.019833166168635615
0.6468764247621316,39,0.28480824885776856,0.25859251253219434,0.15386137220406482,0.025061936710462918
0.6976763260710328,40,0.3106644214899408,0.2844574045360271,0.17782170834835076,0.031434814907118476
0.7470673031371975,41,0.3362121286693487,0.31062516981119354,0.2038652366390418,0.03909892224971119
0.7942158526165484,42,0.3614643167619197,0.33672180721849637,0.23183099162776716,0.048284821731818514
0.8382826032242351,43,0.3856030964158802,0.36234416161697286,0.26149763341450016,0.059247007878007824
0.8784467393499328,44,0.4086128539477416,0.38706928038253563,0.29256580016034905,0.07217823059108801
0.9139311852712295,45,0.4296698323453183,0.4104638580021069,0.3246375490990585,0.08729315607935524
0.9440274829178368,46,0.44877697386355897,0.43209521468712414,0.35722711437852234,0.10480483333568813
0.9681192569165636,47,0.4651542615915475,0.45154456669584775,0.3897770762777041,0.1249114457100811
0.9857031841224436,48,0.4788732555668159,0.46842166441399113,0.4216675820553421,0.14778638677631867
0.9964064722309937,49,0.4892460215979868,0.482378819583186,0.4522301053926788,0.1735673278270335
1.0,50,0.4964571718522385,0.49312273614905544,0.48076796903286756,0.2023444638444762
0.996406472230993,51,0.49994930276154126,0.5004238146263148,0.5065817551922654,0.23414831353098503
0.9857031841224423,52,0.5000506972384587,0.5041234800017602,0.5289920822780858,0.2689375418690233
0.9681192569165618,53,0.49635577737532033,0.50413991541965,0.5473571398299304,0.30658735515772684
0.9440274829178343,54,0.4893474160749034,0.5004717718691378,0.5611002418177826,0.3468790815999153
0.9139311852712266,55,0.47877186108989733,0.493198906714453,0.5697498316735303,0.389491588324415
0.8784467393499295,56,0.46525565606846375,0.48247951826543556,0.5729690412061017,0.43399519204959397
0.8382826032242313,57,0.4486755793866398,0.4685438989099953,0.5705694139923678,0.479848690820417
0.7942158526165444,58,0.4297712268222341,0.4516856935810786,0.5625217549301564,0.5264000902528313
0.7470673031371932,59,0.4085114594708219,0.43225157165374306,0.5489647797491286,0.5728919404448524
0.6976763260710284,60,0.3857044908927959,0.41062978124819155,0.5302054266334235,0.6184752728960157
0.646876424762127,61,0.36136292228499967,0.38723770008888403,0.5067096095584855,0.6622329270427518
0.5954725422392669,62,0.3363135231462644,0.3625085810729016,0.4790868895440781,0.7031686106728894
0.5442209263252045,63,0.3105630270130205,0.33687808733921665,0.4480723086922309,0.740215040541036
0.49381219803334325,64,0.28490964333468416,0.3107715046963544,0.4145000187479321,0.7723094386562764
0.44485806622293833,65,0.2593114106690042,0.28459242548382574,0.37926259798298734,0.7984236833516669
0.39788192045120196,66,0.23450091182960286,0.2587133041267231,0.3432648563384806,0.8175690298132587
0.3533133283585988,67,0.21035727333372928,0.23346791523658994,0.3073842732249116,0.8288328713022008
0.3114862758474047,68,0.18752475874853303,0.20914563821740106,0.27243691358835587,0.831414358645088
0.2726408275566747,69,0.16578867267975933,0.18598760591426233,0.2391445374959852,0.8246560604758347
0.2369277586821196,70,0.1456976969225438,0.16418485595462076,0.2081056909953144,0.8080727545653087
0.20441562097826207,71,0.12694321475899317,0.14387853426309563,0.17977485356294653,0.7813764921036691
0.1750996567501116,72,0.10998461846574484,0.12516195400913507,0.15444989504902368,0.7444968774421338
0.14891196300114615,73,0.09443106780383237,0.10808409402146466,0.1322662644252095,0.6975956506870021
0.12573232959442646,74,0.08066864552331496,0.09265407576754425,0.11319981782029526,0.6410748563005839
0.10539922456186307,75,0.06824336601445222,0.07884627213481032,0.09708324062749302,0.5755781073664484
0.08772046977979131,76,0.0574890048281963,0.06660583608378609,0.08363491767661585,0.5019847010720075
0.07248323393023554,77,0.04791025447644594,0.055854473918781206,0.07249172200229959,0.4213965932367899
0.05946305997430235,78,0.039810244318500415,0.04649622844131385,0.06324065423134867,0.33511845300875365
0.048431734917993484,79,0.03267301364587352,0.038422980231617,0.055450658966889,0.2446308625107977
0.039163895098986476,80,0.02679006607936322,0.03151940846394231,0.04870476627265227,0.1515555542236301
0.0314423364378908,81,0.021641684944673126,0.025667272409252657,0.04262933613681574,0.05761417523574064
0.02506206326255834,82,0.017522223188920848,0.020749001104070915,0.03691789738633225,-0.03540298074736181
0.01983315989354815,83,0.01392012371938655,0.016650636798306077,0.03134921279238176,-0.1256643609935011
0.015582605794334209,84,0.0111419478919451,0.013264162565861399,0.0257985147251497,-0.2113552150209551
0.01215517832991471,85,0.00869121861005542,0.010489212296287465,0.02023849067955824,-0.2907417447410774
0.009413598369701447,86,0.006891392377219131,0.008234168686728972,0.014728219141052615,-0.36220643754640897
0.007238074941485983,87,0.005263790003822783,0.00641670725333137,0.009393853980963623,-0.4242797304034233
0.00552539798880381,88,0.004149811503466513,0.004963899627410673,0.00440664323570443,-0.475679547348875
0.004187715166944808,89,0.0030882658505845557,0.0038120038526182724,-3.9853105870985006e-05,-0.5153465556117643
0.0031511115984443686,90,0.0024371339799622313,0.0029060382069212394,-0.003753681417769418,-0.5424727409338799
0.0023540924437341704,91,0.0017505825828630587,0.002199191243909839,-0.006568228538639649,-0.5565235856419769
0.0017460485771277126,92,0.0014005300659413432,0.0016521003589013445,-0.008363271137311626,-0.5572535514676844
0.0012857668091172088,93,0.0009535631624859073,0.0012320414048871803,-0.009081784596721501,-0.5447144945549397
0.0009400288421806619,94,0.0007924859966561848,0.000912090049236325,-0.008741443436558138,-0.5192568011995602
0.0006823280527563578,95,0.0004932812410492233,0.0006703151112896523,-0.007438597901123847,-0.48152322002707715
0.0004917205453989684,96,0.0004467479144740881,0.0004890397085087646,-0.005342457501216657,-0.4324355516600271
0.0003518167902881255,97,0.000235580365724833,0.00035417537562405137,-0.0026803342031674476,-0.37317453195230765
0.00024991242536771493,98,0.0002561403435809332,0.00025461882959022374,0.00028208746730276797,-0.30515337005840465
0.00017625125424737895,99,9.567656397943336e-05,0.0001817061627907245,0.0032621230154279268,-0.2299852857653381
0.0001234098040866756,100,0.00015423594469241264,0.00012873213517592135,0.005982149493668782,-0.14944489983503856
8.579069562068603e-05,101,2.201536830537864e-05,9.054626472997768e-05,0.00819177453624612,-0.06542472708762101
5.921119080918544e-05,102,0.00010139447691789495,6.322761846139197e-05,0.009688457942494842,0.020105783478382464
4.057331392320051e-05,103,-1.56037527003125e-05,4.3825748855385845e-05,0.010334739531685743,0.10513608616296474
2.7602616196641754e-05,104,7.481496324656016e-05,3.0148735792462898e-05,0.010070697381953276,0.18766071774698107
1.8643742331516157e-05,105,-3.424163579892259e-05,2.058480794269535e-05,0.008920008551622435,0.2657386156797117
1.2502274127540922e-05,106,6.184426119643579e-05,1.3954568821344284e-05,0.006987660509920907,0.3375431465877597
8.323730718234747e-06,107,-4.320051265033927e-05,9.396390367348502e-06,0.004448813903140131,0.40139796113739046
5.501993922834465e-06,108,5.570279094530462e-05,6.284348343796963e-06,0.0015310027695300053,0.45581212653341213
3.6107321303164294e-06,109,-4.7379057452493156e-05,4.171015007452759e-06,-0.0015070167637738175,0.4995157317160833
2.3525752000096748e-06,110,5.288105320932547e-05,2.7441048370684167e-06,-0.0043976204076914705,0.5314904358163135
1.5218254343663097e-06,111,-4.9270319875431746e-05,1.7894133479246589e-06,-0.006886905460772863,0.5509934206482772
9.773705338967918e-07,112,5.16228958596331e-05,1.1591187577416813e-06,-0.008756374719177649,0.5575746624523934
6.231989669781964e-07,113,-5.010106991799168e-05,7.484088529484328e-07,-0.009842070375844496,0.5510873101236907
3.945184222626679e-07,114,5.1078440777678626e-05,4.819768755416779e-07,-0.01004955757565007,0.5316909560398796
2.479596018044913e-07,115,-5.0455241602967454e-05,3.0774838305299387e-07,-0.009363222363861261,0.4998477275442249
1.5472755133121672e-07,116,5.084976015673626e-05,1.9281163245052246e-07,-0.00784821167939898,0.45631129578027535
9.585779938783735e-08,117,-5.060180047227857e-05,1.1807513470875449e-07,-0.0056439840998523515,0.40210906291197795
5.8960388492568834e-08,118,5.075652807518563e-05,7.186983738005422e-08,-0.002950303077377523,0.33851791430176503
3.6005288734093144e-08,119,-5.066067024384519e-05,4.5065640760479077e-08,-8.193070095340833e-06,0.2670339011260608
2.1829577951253617e-08,120,5.071963065199122e-05,2.95249104262821e-08,0.0029215475049884903,0.18933604378243293
1.3140063386066028e-08,121,-5.0683625351255367e-05,1.914886873040754e-08,0.005580633116294343,0.10724519683379559
7.852766082667485e-09,122,5.070545493648315e-05,1.107025894248942e-08,0.007735216069647228,0.0226819112036243
4.6593028639999974e-09,123,-5.069231486871706e-05,5.161522443373563e-09,0.009196065338987093,-0.06237316549695344
2.744683689874259e-09,124,5.0700167637417313e-05,2.0805816938610042e-09,0.009835408838282869,-0.1459217257339053
1.6052280551855089e-09,125,-5.069550833300021e-05,1.5216175478041498e-09,0.009598859634261665,-0.22599961315157907
9.320823003919383e-10,126,5.0698253017604984e-05,1.9973765053284515e-09,0.008510857652539389,-0.3007300341451087
5.373346667437891e-10,127,-5.069664778901472e-05,1.9632199439432274e-09,0.0066723968252010175,-0.36836716269429215
3.075449070984702e-10,128,5.069757987162581e-05,9.661209392100645e-10,0.0042510007340411365,-0.4273326466431314
1.7476131277500563e-10,129,-5.069704253677995e-05,-2.7651221074136376e-10,0.0014645120869410191,-0.47625081389988466
9.859505575990852e-11,130,5.0697350081789566e-05,-8.035592902864442e-10,-0.0014389096544301487,-0.5139813832515537
5.5225296372512056e-11,131,-5.0697175320418535e-05,-3.701919497236701e-10,-0.004202499392501706,-0.5396466592468887
3.071100673562126e-11,132,5.069727391550716e-05,4.133522979392319e-10,-0.006582832762108066,-0.5526521613226044
1.6955989189503582e-11,133,-5.069721869019238e-05,7.481128512154283e-10,-0.008370692261286849,-0.552700449394249
9.294484093066258e-12,134,5.069724940120935e-05,3.835794133768939e-10,-0.009409379545829955,-0.5397979501187632
5.0582527428434435e-12,135,-5.069723244521451e-05,-2.5209382999699377e-10,-0.009608902766616648,-0.5142546535097519
2.7330579647639777e-12,136,5.06972417397017e-05,-5.503631197340003e-10,-0.008954486391983593,-0.47667669529423323
1.466122434384561e-12,137,-5.0697236681447274e-05,-3.010017470018813e-10,-0.007508077629428081,-0.42795200222501956
7.808447878254933e-13,138,5.069723941450615e-05,1.8152575321196683e-10,-0.005402293408203475,-0.369229313390557
4.128880103915441e-13,139,-5.0697237948383225e-05,4.245400175746096e-10,-0.0028275493701894884,-0.3018909366035359
2.1675688826187845e-13,140,5.069723872922827e-05,2.4733550529892537e-10,-1.4232849287422912e-05,-0.2275195680869867
1.1297611163577645e-13,141,-5.0697238316340125e-05,-1.234628028723466e-10,0.002787930494152921,-0.147859932885953
5.846196634846888e-14,142,5.069723853309708e-05,-3.2337741942798275e-10,0.005331529538479427,-0.0647776055544138
3.003539125673408e-14,143,-5.069723842012093e-05,-2.0016231639651947e-10,0.007392698631709318,0.019781973848483448
1.5320263975037952e-14,144,5.0697238478582916e-05,8.334035023767648e-11,0.008790515922021812,0.10383523939646225
7.758402075695338e-15,145,-5.0697238448547514e-05,2.4632056503863426e-10,0.009403057502251204,0.1854075282000156
3.900779460804298e-15,146,5.0697238463867785e-05,1.6154480246784858e-10,0.009178566179010089,0.26258443115958313
1.947168750922079e-15,147,-5.0697238456109384e-05,-5.489971729738024e-11,0.008140342671271538,0.33355967465319175
9.650034475205239e-16,148,5.069723846001017e-05,-1.8715405221334956e-10,0.006384484332407099,0.3966756748032393
4.748180480404546e-16,149,-5.0697238458063e-05,-1.2979615715688329e-10,0.004070585404262989,0.4504596768981416
